[22:19:48] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 2, Value: 0, Desc: Lvl: 2, HP: 28 +7
[23:16:56] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 35, Value: 0, Desc: Lvl: 35, HP: 279 +8
[23:16:56] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 36, Value: 0, Desc: Lvl: 36, HP: 286 +7
[23:16:56] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 37, Value: 0, Desc: Lvl: 37, HP: 295 +9
[23:16:56] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 38, Value: 0, Desc: Lvl: 38, HP: 303 +8
[23:16:56] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 39, Value: 0, Desc: Lvl: 39, HP: 311 +8
[23:16:56] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 40, Value: 0, Desc: Lvl: 40, HP: 318 +7
[23:16:56] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 41, Value: 0, Desc: Lvl: 41, HP: 325 +7
[23:16:56] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 42, Value: 0, Desc: Lvl: 42, HP: 333 +8
[23:17:04] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 43, Value: 0, Desc: Lvl: 43, HP: 342 +9
[23:17:04] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 44, Value: 0, Desc: Lvl: 44, HP: 349 +7
[23:17:04] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 45, Value: 0, Desc: Lvl: 45, HP: 357 +8
[23:17:04] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 46, Value: 0, Desc: Lvl: 46, HP: 364 +7
[23:17:04] Name: lorena, Id: 33, Type: 11, Entity: 0, Amount: 47, Value: 0, Desc: Lvl: 47, HP: 373 +9
